"index","name","LossJulDec12","LossJanJun13","LossJul12Jun13","LossJulDec11","LossJanJun12","LossJul11Jun12","address","type","vo","region","attached_entitlements","egms"
440,"TAYLORS LAKES FAMILY HOTEL",7897857.54,0,0,8081701.19,7294996.17,15376697.36,"LOTS 7 &amp; 8 KEILOR-MELTON ROAD TAYLORS LAKES   VIC 3038","Hotel","V9780043","Metropolitan","105","105"
441,"TEMPLESTOWE HOTEL",3807660.91,0,0,3817659.98,3678237.97,7495897.95,"23-29 PARKER STREET LOWER TEMPLESTOWE 3107","Hotel","V05095887","Metropolitan","50","60"
442,"THE BAY &amp; BRIDGE HOTEL",NA,NA,NA,NA,NA,NA,"316 BAY STREET PORT MELBOURNE 3207","Hotel","V13100021","Metropolitan","0","29"
443,"THE BEACH",1231292.86,0,0,1265642.79,1214683.94,2480326.73,"97 BEACONSFIELD PARADE ALBERT PARK   VIC 3206","Hotel","V09096290","Metropolitan","32","32"
444,"THE BENDIGO CLUB",1355059.94,0,0,1436015.34,1358755.13,2794770.47,"22 PARK STREET BENDIGO   VIC 3550","Club","V9210185","Country","44","44"
445,"THE BOROUGH CLUB",1601341.06,0,0,1676588.14,1486334.99,3162923.13,"2-4 HIGH STREET EAGLEHAWK   VIC 3556","Club","V9610010","Country","40","40"
446,"THE BRIDGE HOTEL",1399306.8,0,0,1636438.63,1480022.73,3116461.36,"1 NEPEAN HIGHWAY MORDIALLOC   VIC 3195","Hotel","V9210085","Metropolitan","50","50"
447,"THE BROOK ON SNEYDES",3546208.42,0,0,3594738.45,3385951.63,6980690.08,"215 SNEYDES ROAD POINT COOK 3030","Club","V00095315","Metropolitan","80","80"
448,"THE BRUNSWICK CLUB",820770.11,0,0,850224.43,788841.97,1639066.4,"203 SYDNEY ROAD BRUNSWICK     VIC 3056","Club","V9310092","Metropolitan","43","43"
449,"THE CHASE HOTEL",6696104.23,0,0,6402924.12,6485629.23,12888553.35,"TENANCY 304 LEVEL 3, 270 CANTERBURY ROAD FOREST HILL   VIC 3131","Hotel","V9410083","Metropolitan","90","90"
450,"THE CLUB",2912268.04,0,0,2839567.36,2694252.62,5533819.98,"1312 - 1322  WESTERN HIGHWAY CAROLINE SPRINGS     VIC 3023","Club","V9780033","Metropolitan","60","60"
451,"THE COACH AND HORSES",1919765.73,0,0,2451470.85,2087053.45,4538524.3,"33 WHITEHORSE ROAD RINGWOOD 3134","Club","V9780033","Metropolitan","80","80"
452,"The Continental Hotel",NA,NA,NA,NA,NA,NA,"5-6 The Esplanade Cowes 3922","Hotel","V9310114","Country","27","27"
453,"THE COVE HOTEL",3214528.33,0,0,3122256.57,3047799.44,6170056.01,"THE MARINA, MCLEOD ROAD PATTERSON LAKES  VIC 3197","Hotel","V03095674","Metropolitan","53","53"
454,"THE ELSTERNWICK CLUB",1257931.78,0,0,1279415.75,1257492.73,2536908.48,"19 SANDHAM STREET ELSTERNWICK   VIC 3185","Club","V9510020","Metropolitan","32","32"
455,"THE FOUNDRY HOTEL COMPLEX",315811.17,0,0,0,0,0,"366 HIGH STREET BENDIGO 3555","Hotel","V09096287","Country","25","25"
457,"THE JIM DANDY HOTEL",1471175.44,0,0,1641097.97,1437562.19,3078660.16,"193 LONSDALE STREET DANDENONG   VIC 3175","Hotel","V05095916","Metropolitan","30","30"
458,"THE LAKES ENTERTAINMENT CENTRE",1050797.32,0,0,1160846.27,1232893.72,2393739.99,"38 CHURCH STREET LAKES ENTRANCE 3909","Club","V07096084","Country","41","41"
459,"THE MEETING PLACE",2773683.34,0,0,2917298.7,2769340.21,5686638.91,"315-321 ELIZABETH STREET MELBOURNE    VIC 3000","Club","V9510030","Metropolitan","56","56"
460,"THE MOONEE PONDS CLUB",970763.42,0,0,1090859.29,912808.37,2003667.66,"622 MT ALEXANDER ROAD MOONEE PONDS   VIC 3039","Club","V9210105","Metropolitan","50","50"
461,"THE OLD TOWN 'N' COUNTRY TAVERN",808401.52,0,0,841183.46,742306.02,1583489.48,"CNR GRETA ROAD &amp; MASON STREET WANGARATTA   VIC 3677","Hotel","V09096317","Country","29","29"
462,"THE ORBOST CLUB",414066.7,0,0,462548.57,475465.72,938014.29,"67-69 GLADSTONE STREET ORBOST  VIC 3888","Club","V9410026","Country","24","24"
463,"THE PHOENIX HOTEL",NA,NA,NA,NA,NA,NA,"22 WALLACE AVENUE POINT COOK 3030","Hotel","V07096003","Metropolitan","50","50"
464,"THE PRINCE OF WALES HOTEL - RICHMOND",2591772.07,0,0,2539480.44,2494032.55,5033512.99,"109 CHURCH STREET RICHMOND    VIC 3121","Hotel","V05095881","Metropolitan","40","40"
465,"THE REX",2971551.3,0,0,3039502.21,2772789.66,5812291.87,"145 BAY STREET PORT MELBOURNE 3207","Club","V9710056","Metropolitan","57","57"
